Record,Date,LOC Time,Temperature_Heat_Exchanger,Temperature_Dryer,Phi_Motor_Position,West_Theta_Motor_Position,East_Theta_Motor_Position,Chosen_Phi_Destination,Chosen_Theta_Destination,Delta_Phi,Delta_Theta,Phi_Destination,Theta_Destination_C,Delta_Theta_Destination
1,31/07/2025,09:21:47,26,28,16280,16928,16950,27.27,64.89,0,0,28596.06,17008.4,0
2,31/07/2025,09:23:47,26,28,16280,17057.5,16943,27.78,64.78,0,0,28499.88,17038.94,0
3,31/07/2025,09:25:47,26,28,16280,17059.7,17052.8,28.29,64.67,0,0,28403.6,17069.31,0
4,31/07/2025,09:27:47,26,28,16280,17063.5,17045.5,28.8,64.57,0,0,28307.2,17099.52,0
5,31/07/2025,09:29:47,26,28,16280,17065,17048.9,29.32,64.46,0,0,28210.69,17129.56,0
6,31/07/2025,09:31:47,27,28,16280,17129.5,17155.4,29.83,64.36,0,0,28114.08,17159.43,0
7,31/07/2025,09:33:47,27,29,16280,17123.3,17150.3,30.34,64.26,0,0,28017.35,17189.13,0
8,31/07/2025,09:35:23,27,29,16280,17201,17155,30.76,64.17,0,0,27939.9,17212.76,0
9,31/07/2025,09:37:23,27,29,16280,17201.1,17154.9,31.27,64.07,0,0,27842.97,17242.14,0
10,31/07/2025,09:39:23,27,29,16280,17201,17261.9,31.79,63.97,0,0,27745.93,17271.34,0
11,31/07/2025,09:41:23,27,29,16280,17201,17257.1,32.3,63.87,0,0,27648.79,17300.37,0
12,31/07/2025,09:43:23,27,29,16280,17303,17261.7,32.82,63.77,0,0,27551.53,17329.2,0
13,31/07/2025,09:45:23,27,29,16280,17303,17261.4,33.34,63.67,0,0,27454.16,17357.85,0
14,31/07/2025,09:47:23,29,29,27398,17303,17347,33.86,63.57,0,0,27356.69,17386.31,0
15,31/07/2025,09:49:23,41,32,27384,17854.6,17879.5,34.37,61.97,0,-1.5,27259.09,17840.07,0
16,31/07/2025,09:51:23,53,36,27304,17859.4,17879.3,34.89,61.87,0,-1.5,27161.39,17867.87,0
17,31/07/2025,09:53:23,62,40,27201,17859.6,17880,35.41,61.77,0,-1.5,27063.57,17895.48,0
18,31/07/2025,09:55:23,69,44,27064.4,17879.6,17880.1,35.93,61.67,0,-1.5,26965.64,17922.9,0
19,31/07/2025,09:57:23,74,47,26964,17927.7,17878.1,36.46,61.58,0,-1.5,26867.6,17950.11,0
20,31/07/2025,09:59:23,78,50,26782.9,17952,17881,36.98,61.48,0,-1.5,26769.44,17977.13,0
21,31/07/2025,10:01:23,81,53,26300.8,17918,17991,40,61.39,2.5,-1.5,26200.92,18003.95,0
22,31/07/2025,10:03:23,86,55,26211,18016.8,17990,40.52,61.29,2.5,-1.5,26102.54,18030.56,0
23,31/07/2025,10:05:23,90,58,26109,18015.4,17991,41.05,61.2,2.5,-1.5,26004.05,18056.96,0
24,31/07/2025,10:07:23,92,61,26041,18017,17991.5,41.57,61.1,2.5,-1.5,25905.44,18083.16,0
25,31/07/2025,10:09:23,95,63,25904,18020,18103.2,42.1,61.01,2.5,-1.5,25806.72,18109.14,0
26,31/07/2025,10:11:23,97,65,25779.4,18123,18102.4,42.62,60.92,2.5,-1.5,25707.88,18134.92,0
27,31/07/2025,10:13:23,99,67,25700,18123,18102.7,43.15,60.83,2.5,-1.5,25608.94,18160.48,0
28,31/07/2025,10:15:23,99,68,25597,18123,18102.9,43.67,60.74,2.5,-1.5,25509.88,18185.82,0
29,31/07/2025,10:17:23,100,70,25529,18123,18144.3,44.2,60.65,2.5,-1.5,25410.71,18210.95,0
30,31/07/2025,10:19:23,102,72,25443.9,18225.1,18145,44.73,60.56,2.5,-1.5,25311.43,18235.86,0
31,31/07/2025,10:21:23,106,73,25292.7,18225,18262,45.26,60.47,2.5,-1.5,25212.03,18260.54,0
32,31/07/2025,10:23:23,108,75,25234.8,18225,18264,45.79,60.38,2.5,-1.5,25112.52,18285,0
33,31/07/2025,10:25:23,111,76,25119,18241.2,18263.6,46.32,60.3,2.5,-1.5,25012.9,18309.23,0
34,31/07/2025,10:27:23,115,78,24993.2,18275.7,18262.6,46.85,60.21,2.5,-1.5,24913.17,18333.23,0
35,31/07/2025,10:29:23,116,79,24949,18282,18262.4,47.38,60.12,2.5,-1.5,24813.33,18357.01,0
36,31/07/2025,10:31:23,116,80,24835.5,18396,18341.2,47.91,60.04,2.5,-1.5,24713.37,18380.54,0
37,31/07/2025,10:33:23,119,82,24731.8,18396,18338.4,48.44,59.96,2.5,-1.5,24613.31,18403.86,0
38,31/07/2025,10:35:23,122,83,24641,18387.5,18341.2,48.97,59.87,2.5,-1.5,24513.14,18426.93,0
