Record,Date,LOC Time,Temperature_Heat_Exchanger,Temperature_Dryer,Phi_Motor_Position,West_Theta_Motor_Position,East_Theta_Motor_Position,Chosen_Phi_Destination,Chosen_Theta_Destination,Delta_Phi,Delta_Theta,Phi_Destination,Theta_Destination_C,Delta_Theta_Destination
237,05/08/2025,16:58:30,71.00,66.00,5087.00,16791.00,16795.00,152.80,65.91,2.00,0.00,4982.89,16713.95,0.00
238,05/08/2025,17:00:30,68.00,64.00,5017.10,16655.00,16658.60,153.31,66.01,2.00,0.00,4886.77,16683.39,0.00
239,05/08/2025,17:02:30,65.00,62.00,4914.00,16655.00,16660.00,153.82,66.12,2.00,0.00,4790.75,16652.67,0.00
240,05/08/2025,17:04:30,63.00,60.00,4749.60,16653.30,16659.20,154.33,66.22,2.00,0.00,4694.83,16621.78,0.00
241,05/08/2025,17:06:30,62.00,59.00,4736.30,16655.00,16658.80,154.84,66.33,2.00,0.00,4599.02,16590.72,0.00
242,05/08/2025,17:08:30,61.00,57.00,4607.00,16653.50,16657.70,155.35,66.44,2.00,0.00,4503.31,16559.52,0.00
243,05/08/2025,17:10:30,59.00,56.00,4537.50,16621.00,16529.00,155.86,66.55,2.00,0.00,4407.70,16528.14,0.00
244,05/08/2025,17:12:30,59.00,55.00,4394.40,16450.00,16529.70,156.37,66.65,2.00,0.00,4312.18,16496.61,0.00
245,05/08/2025,17:14:30,59.00,54.00,4311.40,16450.00,16528.00,156.88,66.76,2.00,0.00,4216.77,16464.93,0.00
246,05/08/2025,17:16:30,60.00,54.00,4263.00,16447.50,16528.00,157.38,66.87,2.00,0.00,4121.47,16433.09,0.00
247,05/08/2025,17:18:30,60.00,54.00,4163.00,16445.80,16387.00,157.89,66.98,2.00,0.00,4026.26,16401.10,0.00
248,05/08/2025,17:20:30,61.00,54.00,4061.00,16445.30,16386.00,158.39,67.09,2.00,0.00,3931.15,16368.97,0.00
249,05/08/2025,17:22:30,62.00,54.00,3959.00,16280.00,16386.80,158.90,67.20,2.00,0.00,3836.14,16336.69,0.00
250,05/08/2025,17:24:30,63.00,54.00,3879.80,16283.90,16386.40,159.40,67.31,2.00,0.00,3741.22,16304.27,0.00
251,05/08/2025,17:26:30,63.00,54.00,3768.40,16280.30,16221.00,159.91,67.43,2.00,0.00,3646.41,16271.71,0.00
252,05/08/2025,17:28:30,64.00,54.00,3686.00,16280.00,16220.40,160.41,67.54,2.00,0.00,3551.69,16239.01,0.00
253,05/08/2025,17:30:30,65.00,55.00,3583.00,16177.00,16221.30,160.91,67.65,2.00,0.00,3457.06,16206.17,0.00
254,05/08/2025,17:32:30,65.00,55.00,3481.00,16175.30,16222.00,161.42,67.76,2.00,0.00,3362.54,16173.21,0.00
255,05/08/2025,17:34:30,65.00,55.00,3413.00,16177.00,16221.30,161.92,67.87,2.00,0.00,3268.10,16140.12,0.00
